date,year,month,month_name,quarter,day,weekday_name,is_weekend,is_public_holiday,holiday_name,is_working_day,day_type
2024-03-06,2024,3,March,Q1,6,Wednesday,False,True,Maharishi Dayanand Saraswati Jayanti,False,Public Holiday
2024-03-07,2024,3,March,Q1,7,Thursday,False,False,,True,Weekday
2024-03-08,2024,3,March,Q1,8,Friday,False,True,Maha Shivaratri/Shivaratri,False,Public Holiday
2024-03-09,2024,3,March,Q1,9,Saturday,True,False,,False,Weekend
2024-03-10,2024,3,March,Q1,10,Sunday,True,False,,False,Weekend
2024-03-11,2024,3,March,Q1,11,Monday,False,False,,True,Weekday
2024-03-12,2024,3,March,Q1,12,Tuesday,False,True,Ramadan Start,False,Public Holiday
2024-03-13,2024,3,March,Q1,13,Wednesday,False,False,,True,Weekday
2024-03-14,2024,3,March,Q1,14,Thursday,False,False,,True,Weekday
2024-03-15,2024,3,March,Q1,15,Friday,False,False,,True,Weekday
2024-03-16,2024,3,March,Q1,16,Saturday,True,False,,False,Weekend
2024-03-17,2024,3,March,Q1,17,Sunday,True,False,,False,Weekend
2024-03-18,2024,3,March,Q1,18,Monday,False,False,,True,Weekday
2024-03-19,2024,3,March,Q1,19,Tuesday,False,False,,True,Weekday
2024-03-20,2024,3,March,Q1,20,Wednesday,False,True,March Equinox,False,Public Holiday
2024-03-21,2024,3,March,Q1,21,Thursday,False,False,,True,Weekday
2024-03-22,2024,3,March,Q1,22,Friday,False,False,,True,Weekday
2024-03-23,2024,3,March,Q1,23,Saturday,True,False,,False,Weekend
2024-03-24,2024,3,March,Q1,24,Sunday,True,True,Holika Dahana,False,Public Holiday
2024-03-25,2024,3,March,Q1,25,Monday,False,True,Dolyatra,False,Public Holiday
2024-03-26,2024,3,March,Q1,26,Tuesday,False,False,,True,Weekday
2024-03-27,2024,3,March,Q1,27,Wednesday,False,False,,True,Weekday
2024-03-28,2024,3,March,Q1,28,Thursday,False,True,Maundy Thursday,False,Public Holiday
2024-03-29,2024,3,March,Q1,29,Friday,False,True,Good Friday,False,Public Holiday
2024-03-30,2024,3,March,Q1,30,Saturday,True,False,,False,Weekend
2024-03-31,2024,3,March,Q1,31,Sunday,True,True,Easter Day,False,Public Holiday
2024-04-01,2024,4,April,Q2,1,Monday,False,False,,True,Weekday
2024-04-02,2024,4,April,Q2,2,Tuesday,False,False,,True,Weekday
2024-04-03,2024,4,April,Q2,3,Wednesday,False,False,,True,Weekday
2024-04-04,2024,4,April,Q2,4,Thursday,False,False,,True,Weekday
2024-04-05,2024,4,April,Q2,5,Friday,False,True,Jamat Ul-Vida,False,Public Holiday
2024-04-06,2024,4,April,Q2,6,Saturday,True,False,,False,Weekend
2024-04-07,2024,4,April,Q2,7,Sunday,True,False,,False,Weekend
2024-04-08,2024,4,April,Q2,8,Monday,False,False,,True,Weekday
2024-04-09,2024,4,April,Q2,9,Tuesday,False,True,Gudi Padwa,False,Public Holiday
2024-04-10,2024,4,April,Q2,10,Wednesday,False,False,,True,Weekday
2024-04-11,2024,4,April,Q2,11,Thursday,False,True,Ramzan Id,False,Public Holiday
2024-04-12,2024,4,April,Q2,12,Friday,False,False,,True,Weekday
2024-04-13,2024,4,April,Q2,13,Saturday,True,True,Vaisakhi,False,Public Holiday
2024-04-14,2024,4,April,Q2,14,Sunday,True,True,Ambedkar Jayanti,False,Public Holiday
2024-04-15,2024,4,April,Q2,15,Monday,False,False,,True,Weekday
2024-04-16,2024,4,April,Q2,16,Tuesday,False,False,,True,Weekday
2024-04-17,2024,4,April,Q2,17,Wednesday,False,True,Rama Navami,False,Public Holiday
2024-04-18,2024,4,April,Q2,18,Thursday,False,False,,True,Weekday
2024-04-19,2024,4,April,Q2,19,Friday,False,False,,True,Weekday
2024-04-20,2024,4,April,Q2,20,Saturday,True,False,,False,Weekend
2024-04-21,2024,4,April,Q2,21,Sunday,True,True,Mahavir Jayanti,False,Public Holiday
2024-04-22,2024,4,April,Q2,22,Monday,False,False,,True,Weekday
2024-04-23,2024,4,April,Q2,23,Tuesday,False,True,First day of Passover,False,Public Holiday
2024-04-24,2024,4,April,Q2,24,Wednesday,False,False,,True,Weekday
2024-04-25,2024,4,April,Q2,25,Thursday,False,False,,True,Weekday
2024-04-26,2024,4,April,Q2,26,Friday,False,False,,True,Weekday
2024-04-27,2024,4,April,Q2,27,Saturday,True,False,,False,Weekend
2024-04-28,2024,4,April,Q2,28,Sunday,True,False,,False,Weekend
2024-04-29,2024,4,April,Q2,29,Monday,False,False,,True,Weekday
2024-04-30,2024,4,April,Q2,30,Tuesday,False,False,,True,Weekday
2024-05-01,2024,5,May,Q2,1,Wednesday,False,True,International Worker's Day,False,Public Holiday
2024-05-02,2024,5,May,Q2,2,Thursday,False,False,,True,Weekday
2024-05-03,2024,5,May,Q2,3,Friday,False,False,,True,Weekday
2024-05-04,2024,5,May,Q2,4,Saturday,True,False,,False,Weekend
2024-05-05,2024,5,May,Q2,5,Sunday,True,False,,False,Weekend
2024-05-06,2024,5,May,Q2,6,Monday,False,False,,True,Weekday
2024-05-07,2024,5,May,Q2,7,Tuesday,False,False,,True,Weekday
2024-05-08,2024,5,May,Q2,8,Wednesday,False,True,Birthday of Rabindranath,False,Public Holiday
2024-05-09,2024,5,May,Q2,9,Thursday,False,False,,True,Weekday
2024-05-10,2024,5,May,Q2,10,Friday,False,False,,True,Weekday
2024-05-11,2024,5,May,Q2,11,Saturday,True,False,,False,Weekend
2024-05-12,2024,5,May,Q2,12,Sunday,True,True,Mother's Day,False,Public Holiday
2024-05-13,2024,5,May,Q2,13,Monday,False,False,,True,Weekday
2024-05-14,2024,5,May,Q2,14,Tuesday,False,False,,True,Weekday
2024-05-15,2024,5,May,Q2,15,Wednesday,False,False,,True,Weekday
2024-05-16,2024,5,May,Q2,16,Thursday,False,False,,True,Weekday
2024-05-17,2024,5,May,Q2,17,Friday,False,False,,True,Weekday
2024-05-18,2024,5,May,Q2,18,Saturday,True,False,,False,Weekend
2024-05-19,2024,5,May,Q2,19,Sunday,True,False,,False,Weekend
2024-05-20,2024,5,May,Q2,20,Monday,False,False,,True,Weekday
2024-05-21,2024,5,May,Q2,21,Tuesday,False,False,,True,Weekday
2024-05-22,2024,5,May,Q2,22,Wednesday,False,False,,True,Weekday
2024-05-23,2024,5,May,Q2,23,Thursday,False,True,Buddha Purnima/Vesak,False,Public Holiday
2024-05-24,2024,5,May,Q2,24,Friday,False,False,,True,Weekday
2024-05-25,2024,5,May,Q2,25,Saturday,True,False,,False,Weekend
2024-05-26,2024,5,May,Q2,26,Sunday,True,False,,False,Weekend
2024-05-27,2024,5,May,Q2,27,Monday,False,False,,True,Weekday
2024-05-28,2024,5,May,Q2,28,Tuesday,False,False,,True,Weekday
2024-05-29,2024,5,May,Q2,29,Wednesday,False,False,,True,Weekday
2024-05-30,2024,5,May,Q2,30,Thursday,False,False,,True,Weekday
2024-05-31,2024,5,May,Q2,31,Friday,False,False,,True,Weekday
2024-06-01,2024,6,June,Q2,1,Saturday,True,False,,False,Weekend
2024-06-02,2024,6,June,Q2,2,Sunday,True,False,,False,Weekend
2024-06-03,2024,6,June,Q2,3,Monday,False,False,,True,Weekday
2024-06-04,2024,6,June,Q2,4,Tuesday,False,False,,True,Weekday
2024-06-05,2024,6,June,Q2,5,Wednesday,False,False,,True,Weekday
2024-06-06,2024,6,June,Q2,6,Thursday,False,False,,True,Weekday
2024-06-07,2024,6,June,Q2,7,Friday,False,False,,True,Weekday
2024-06-08,2024,6,June,Q2,8,Saturday,True,False,,False,Weekend
2024-06-09,2024,6,June,Q2,9,Sunday,True,False,,False,Weekend
2024-06-10,2024,6,June,Q2,10,Monday,False,False,,True,Weekday
2024-06-11,2024,6,June,Q2,11,Tuesday,False,False,,True,Weekday
2024-06-12,2024,6,June,Q2,12,Wednesday,False,False,,True,Weekday
2024-06-13,2024,6,June,Q2,13,Thursday,False,False,,True,Weekday
2024-06-14,2024,6,June,Q2,14,Friday,False,False,,True,Weekday
2024-06-15,2024,6,June,Q2,15,Saturday,True,False,,False,Weekend
2024-06-16,2024,6,June,Q2,16,Sunday,True,True,Father's Day,False,Public Holiday
2024-06-17,2024,6,June,Q2,17,Monday,False,True,Bakrid,False,Public Holiday
2024-06-18,2024,6,June,Q2,18,Tuesday,False,False,,True,Weekday
2024-06-19,2024,6,June,Q2,19,Wednesday,False,False,,True,Weekday
2024-06-20,2024,6,June,Q2,20,Thursday,False,False,,True,Weekday
2024-06-21,2024,6,June,Q2,21,Friday,False,True,June Solstice,False,Public Holiday
2024-06-22,2024,6,June,Q2,22,Saturday,True,False,,False,Weekend
2024-06-23,2024,6,June,Q2,23,Sunday,True,False,,False,Weekend
2024-06-24,2024,6,June,Q2,24,Monday,False,False,,True,Weekday
2024-06-25,2024,6,June,Q2,25,Tuesday,False,False,,True,Weekday
2024-06-26,2024,6,June,Q2,26,Wednesday,False,False,,True,Weekday
2024-06-27,2024,6,June,Q2,27,Thursday,False,False,,True,Weekday
2024-06-28,2024,6,June,Q2,28,Friday,False,False,,True,Weekday
2024-06-29,2024,6,June,Q2,29,Saturday,True,False,,False,Weekend
2024-06-30,2024,6,June,Q2,30,Sunday,True,False,,False,Weekend
2024-07-01,2024,7,July,Q3,1,Monday,False,False,,True,Weekday
2024-07-02,2024,7,July,Q3,2,Tuesday,False,False,,True,Weekday
2024-07-03,2024,7,July,Q3,3,Wednesday,False,False,,True,Weekday
2024-07-04,2024,7,July,Q3,4,Thursday,False,False,,True,Weekday
2024-07-05,2024,7,July,Q3,5,Friday,False,False,,True,Weekday
2024-07-06,2024,7,July,Q3,6,Saturday,True,False,,False,Weekend
2024-07-07,2024,7,July,Q3,7,Sunday,True,True,Rath Yatra,False,Public Holiday
2024-07-08,2024,7,July,Q3,8,Monday,False,False,,True,Weekday
2024-07-09,2024,7,July,Q3,9,Tuesday,False,False,,True,Weekday
2024-07-10,2024,7,July,Q3,10,Wednesday,False,False,,True,Weekday
2024-07-11,2024,7,July,Q3,11,Thursday,False,False,,True,Weekday
2024-07-12,2024,7,July,Q3,12,Friday,False,False,,True,Weekday
2024-07-13,2024,7,July,Q3,13,Saturday,True,False,,False,Weekend
2024-07-14,2024,7,July,Q3,14,Sunday,True,False,,False,Weekend
2024-07-15,2024,7,July,Q3,15,Monday,False,False,,True,Weekday
2024-07-16,2024,7,July,Q3,16,Tuesday,False,False,,True,Weekday
2024-07-17,2024,7,July,Q3,17,Wednesday,False,True,Muharram/Ashura,False,Public Holiday
2024-07-18,2024,7,July,Q3,18,Thursday,False,False,,True,Weekday
2024-07-19,2024,7,July,Q3,19,Friday,False,False,,True,Weekday
2024-07-20,2024,7,July,Q3,20,Saturday,True,False,,False,Weekend
2024-07-21,2024,7,July,Q3,21,Sunday,True,True,Guru Purnima,False,Public Holiday
2024-07-22,2024,7,July,Q3,22,Monday,False,False,,True,Weekday
2024-07-23,2024,7,July,Q3,23,Tuesday,False,False,,True,Weekday
2024-07-24,2024,7,July,Q3,24,Wednesday,False,False,,True,Weekday
2024-07-25,2024,7,July,Q3,25,Thursday,False,False,,True,Weekday
2024-07-26,2024,7,July,Q3,26,Friday,False,False,,True,Weekday
2024-07-27,2024,7,July,Q3,27,Saturday,True,False,,False,Weekend
2024-07-28,2024,7,July,Q3,28,Sunday,True,False,,False,Weekend
2024-07-29,2024,7,July,Q3,29,Monday,False,False,,True,Weekday
2024-07-30,2024,7,July,Q3,30,Tuesday,False,False,,True,Weekday
2024-07-31,2024,7,July,Q3,31,Wednesday,False,False,,True,Weekday
2024-08-01,2024,8,August,Q3,1,Thursday,False,False,,True,Weekday
2024-08-02,2024,8,August,Q3,2,Friday,False,False,,True,Weekday
2024-08-03,2024,8,August,Q3,3,Saturday,True,False,,False,Weekend
2024-08-04,2024,8,August,Q3,4,Sunday,True,True,Friendship Day,False,Public Holiday
2024-08-05,2024,8,August,Q3,5,Monday,False,False,,True,Weekday
2024-08-06,2024,8,August,Q3,6,Tuesday,False,False,,True,Weekday
2024-08-07,2024,8,August,Q3,7,Wednesday,False,False,,True,Weekday
2024-08-08,2024,8,August,Q3,8,Thursday,False,False,,True,Weekday
2024-08-09,2024,8,August,Q3,9,Friday,False,False,,True,Weekday
2024-08-10,2024,8,August,Q3,10,Saturday,True,False,,False,Weekend
2024-08-11,2024,8,August,Q3,11,Sunday,True,False,,False,Weekend
2024-08-12,2024,8,August,Q3,12,Monday,False,False,,True,Weekday
2024-08-13,2024,8,August,Q3,13,Tuesday,False,False,,True,Weekday
2024-08-14,2024,8,August,Q3,14,Wednesday,False,False,,True,Weekday
2024-08-15,2024,8,August,Q3,15,Thursday,False,True,Parsi New Year,False,Public Holiday
2024-08-16,2024,8,August,Q3,16,Friday,False,False,,True,Weekday
2024-08-17,2024,8,August,Q3,17,Saturday,True,False,,False,Weekend
2024-08-18,2024,8,August,Q3,18,Sunday,True,False,,False,Weekend
2024-08-19,2024,8,August,Q3,19,Monday,False,True,Raksha Bandhan (Rakhi),False,Public Holiday
2024-08-20,2024,8,August,Q3,20,Tuesday,False,False,,True,Weekday
2024-08-21,2024,8,August,Q3,21,Wednesday,False,False,,True,Weekday
2024-08-22,2024,8,August,Q3,22,Thursday,False,False,,True,Weekday
2024-08-23,2024,8,August,Q3,23,Friday,False,False,,True,Weekday
2024-08-24,2024,8,August,Q3,24,Saturday,True,False,,False,Weekend
2024-08-25,2024,8,August,Q3,25,Sunday,True,False,,False,Weekend
2024-08-26,2024,8,August,Q3,26,Monday,False,True,Janmashtami (Smarta),False,Public Holiday
2024-08-27,2024,8,August,Q3,27,Tuesday,False,False,,True,Weekday
2024-08-28,2024,8,August,Q3,28,Wednesday,False,False,,True,Weekday
2024-08-29,2024,8,August,Q3,29,Thursday,False,False,,True,Weekday
2024-08-30,2024,8,August,Q3,30,Friday,False,False,,True,Weekday
2024-08-31,2024,8,August,Q3,31,Saturday,True,False,,False,Weekend
2024-09-01,2024,9,September,Q3,1,Sunday,True,False,,False,Weekend
2024-09-02,2024,9,September,Q3,2,Monday,False,False,,True,Weekday
2024-09-03,2024,9,September,Q3,3,Tuesday,False,False,,True,Weekday
2024-09-04,2024,9,September,Q3,4,Wednesday,False,False,,True,Weekday
2024-09-05,2024,9,September,Q3,5,Thursday,False,False,,True,Weekday
2024-09-06,2024,9,September,Q3,6,Friday,False,False,,True,Weekday
2024-09-07,2024,9,September,Q3,7,Saturday,True,True,Ganesh Chaturthi/Vinayaka Chaturthi,False,Public Holiday
2024-09-08,2024,9,September,Q3,8,Sunday,True,False,,False,Weekend
2024-09-09,2024,9,September,Q3,9,Monday,False,False,,True,Weekday
2024-09-10,2024,9,September,Q3,10,Tuesday,False,False,,True,Weekday
2024-09-11,2024,9,September,Q3,11,Wednesday,False,False,,True,Weekday
2024-09-12,2024,9,September,Q3,12,Thursday,False,False,,True,Weekday
2024-09-13,2024,9,September,Q3,13,Friday,False,False,,True,Weekday
2024-09-14,2024,9,September,Q3,14,Saturday,True,False,,False,Weekend
2024-09-15,2024,9,September,Q3,15,Sunday,True,True,Onam,False,Public Holiday
2024-09-16,2024,9,September,Q3,16,Monday,False,True,Milad un-Nabi/Id-e-Milad,False,Public Holiday
2024-09-17,2024,9,September,Q3,17,Tuesday,False,False,,True,Weekday
2024-09-18,2024,9,September,Q3,18,Wednesday,False,False,,True,Weekday
2024-09-19,2024,9,September,Q3,19,Thursday,False,False,,True,Weekday
2024-09-20,2024,9,September,Q3,20,Friday,False,False,,True,Weekday
2024-09-21,2024,9,September,Q3,21,Saturday,True,False,,False,Weekend
2024-09-22,2024,9,September,Q3,22,Sunday,True,True,September Equinox,False,Public Holiday
2024-09-23,2024,9,September,Q3,23,Monday,False,False,,True,Weekday
2024-09-24,2024,9,September,Q3,24,Tuesday,False,False,,True,Weekday
2024-09-25,2024,9,September,Q3,25,Wednesday,False,False,,True,Weekday
2024-09-26,2024,9,September,Q3,26,Thursday,False,False,,True,Weekday
2024-09-27,2024,9,September,Q3,27,Friday,False,False,,True,Weekday
2024-09-28,2024,9,September,Q3,28,Saturday,True,False,,False,Weekend
2024-09-29,2024,9,September,Q3,29,Sunday,True,False,,False,Weekend
2024-09-30,2024,9,September,Q3,30,Monday,False,False,,True,Weekday
2024-10-01,2024,10,October,Q4,1,Tuesday,False,False,,True,Weekday
2024-10-02,2024,10,October,Q4,2,Wednesday,False,True,Mahatma Gandhi Jayanti,False,Public Holiday
2024-10-03,2024,10,October,Q4,3,Thursday,False,True,First Day of Sharad Navratri,False,Public Holiday
2024-10-04,2024,10,October,Q4,4,Friday,False,False,,True,Weekday
2024-10-05,2024,10,October,Q4,5,Saturday,True,False,,False,Weekend
2024-10-06,2024,10,October,Q4,6,Sunday,True,False,,False,Weekend
2024-10-07,2024,10,October,Q4,7,Monday,False,False,,True,Weekday
2024-10-08,2024,10,October,Q4,8,Tuesday,False,False,,True,Weekday
2024-10-09,2024,10,October,Q4,9,Wednesday,False,True,First Day of Durga Puja Festivities,False,Public Holiday
2024-10-10,2024,10,October,Q4,10,Thursday,False,True,Maha Saptami,False,Public Holiday
2024-10-11,2024,10,October,Q4,11,Friday,False,True,Maha Ashtami,False,Public Holiday
2024-10-12,2024,10,October,Q4,12,Saturday,True,True,Dussehra,False,Public Holiday
2024-10-13,2024,10,October,Q4,13,Sunday,True,False,,False,Weekend
2024-10-14,2024,10,October,Q4,14,Monday,False,False,,True,Weekday
2024-10-15,2024,10,October,Q4,15,Tuesday,False,False,,True,Weekday
2024-10-16,2024,10,October,Q4,16,Wednesday,False,False,,True,Weekday
2024-10-17,2024,10,October,Q4,17,Thursday,False,True,Maharishi Valmiki Jayanti,False,Public Holiday
2024-10-18,2024,10,October,Q4,18,Friday,False,False,,True,Weekday
2024-10-19,2024,10,October,Q4,19,Saturday,True,False,,False,Weekend
2024-10-20,2024,10,October,Q4,20,Sunday,True,True,Karaka Chaturthi (Karva Chauth),False,Public Holiday
2024-10-21,2024,10,October,Q4,21,Monday,False,False,,True,Weekday
2024-10-22,2024,10,October,Q4,22,Tuesday,False,False,,True,Weekday
2024-10-23,2024,10,October,Q4,23,Wednesday,False,False,,True,Weekday
2024-10-24,2024,10,October,Q4,24,Thursday,False,False,,True,Weekday
2024-10-25,2024,10,October,Q4,25,Friday,False,False,,True,Weekday
2024-10-26,2024,10,October,Q4,26,Saturday,True,False,,False,Weekend
2024-10-27,2024,10,October,Q4,27,Sunday,True,False,,False,Weekend
2024-10-28,2024,10,October,Q4,28,Monday,False,False,,True,Weekday
2024-10-29,2024,10,October,Q4,29,Tuesday,False,False,,True,Weekday
2024-10-30,2024,10,October,Q4,30,Wednesday,False,False,,True,Weekday
2024-10-31,2024,10,October,Q4,31,Thursday,False,True,Diwali/Deepavali,False,Public Holiday
2024-11-01,2024,11,November,Q4,1,Friday,False,False,,True,Weekday
2024-11-02,2024,11,November,Q4,2,Saturday,True,True,Govardhan Puja,False,Public Holiday
2024-11-03,2024,11,November,Q4,3,Sunday,True,True,Bhai Duj,False,Public Holiday
2024-11-04,2024,11,November,Q4,4,Monday,False,False,,True,Weekday
2024-11-05,2024,11,November,Q4,5,Tuesday,False,False,,True,Weekday
2024-11-06,2024,11,November,Q4,6,Wednesday,False,False,,True,Weekday
2024-11-07,2024,11,November,Q4,7,Thursday,False,True,Chhat Puja (Pratihar Sashthi/Surya Sashthi),False,Public Holiday
2024-11-08,2024,11,November,Q4,8,Friday,False,False,,True,Weekday
2024-11-09,2024,11,November,Q4,9,Saturday,True,False,,False,Weekend
2024-11-10,2024,11,November,Q4,10,Sunday,True,False,,False,Weekend
2024-11-11,2024,11,November,Q4,11,Monday,False,False,,True,Weekday
2024-11-12,2024,11,November,Q4,12,Tuesday,False,False,,True,Weekday
2024-11-13,2024,11,November,Q4,13,Wednesday,False,False,,True,Weekday
2024-11-14,2024,11,November,Q4,14,Thursday,False,False,,True,Weekday
2024-11-15,2024,11,November,Q4,15,Friday,False,True,Guru Nanak Jayanti,False,Public Holiday
2024-11-16,2024,11,November,Q4,16,Saturday,True,False,,False,Weekend
2024-11-17,2024,11,November,Q4,17,Sunday,True,False,,False,Weekend
2024-11-18,2024,11,November,Q4,18,Monday,False,False,,True,Weekday
2024-11-19,2024,11,November,Q4,19,Tuesday,False,False,,True,Weekday
2024-11-20,2024,11,November,Q4,20,Wednesday,False,False,,True,Weekday
2024-11-21,2024,11,November,Q4,21,Thursday,False,False,,True,Weekday
2024-11-22,2024,11,November,Q4,22,Friday,False,False,,True,Weekday
2024-11-23,2024,11,November,Q4,23,Saturday,True,False,,False,Weekend
2024-11-24,2024,11,November,Q4,24,Sunday,True,True,Guru Tegh Bahadur's Martyrdom Day,False,Public Holiday
2024-11-25,2024,11,November,Q4,25,Monday,False,False,,True,Weekday
2024-11-26,2024,11,November,Q4,26,Tuesday,False,False,,True,Weekday
2024-11-27,2024,11,November,Q4,27,Wednesday,False,False,,True,Weekday
2024-11-28,2024,11,November,Q4,28,Thursday,False,False,,True,Weekday
2024-11-29,2024,11,November,Q4,29,Friday,False,False,,True,Weekday
2024-11-30,2024,11,November,Q4,30,Saturday,True,False,,False,Weekend
2024-12-01,2024,12,December,Q4,1,Sunday,True,False,,False,Weekend
2024-12-02,2024,12,December,Q4,2,Monday,False,False,,True,Weekday
2024-12-03,2024,12,December,Q4,3,Tuesday,False,False,,True,Weekday
2024-12-04,2024,12,December,Q4,4,Wednesday,False,False,,True,Weekday
2024-12-05,2024,12,December,Q4,5,Thursday,False,False,,True,Weekday
2024-12-06,2024,12,December,Q4,6,Friday,False,False,,True,Weekday
2024-12-07,2024,12,December,Q4,7,Saturday,True,False,,False,Weekend
2024-12-08,2024,12,December,Q4,8,Sunday,True,False,,False,Weekend
2024-12-09,2024,12,December,Q4,9,Monday,False,False,,True,Weekday
2024-12-10,2024,12,December,Q4,10,Tuesday,False,False,,True,Weekday
2024-12-11,2024,12,December,Q4,11,Wednesday,False,False,,True,Weekday
2024-12-12,2024,12,December,Q4,12,Thursday,False,False,,True,Weekday
2024-12-13,2024,12,December,Q4,13,Friday,False,False,,True,Weekday
2024-12-14,2024,12,December,Q4,14,Saturday,True,False,,False,Weekend
2024-12-15,2024,12,December,Q4,15,Sunday,True,False,,False,Weekend
2024-12-16,2024,12,December,Q4,16,Monday,False,False,,True,Weekday
2024-12-17,2024,12,December,Q4,17,Tuesday,False,False,,True,Weekday
2024-12-18,2024,12,December,Q4,18,Wednesday,False,False,,True,Weekday
2024-12-19,2024,12,December,Q4,19,Thursday,False,False,,True,Weekday
2024-12-20,2024,12,December,Q4,20,Friday,False,False,,True,Weekday
2024-12-21,2024,12,December,Q4,21,Saturday,True,True,December Solstice,False,Public Holiday
